id,CO2_working_capacity [mL/g]
68614,193.20128105314944
68615,72.33898677407744
68616,100.64397093778564
68617,79.69286951466867
68618,77.30054559518084
68619,85.08772136967774
68620,124.96475444339245
68621,187.31950356451472
68622,98.53637009785845
68623,154.2177997124032
68624,64.39151536379043
68625,58.7888598618156
68626,261.03473930698766
68627,147.54599529137187
68628,110.33823255609649
68629,118.28810126505348
68630,87.0266785377374
68631,92.17426803577925
68632,150.90244152504306
68633,98.14542989718761
68634,157.56088615493826
68635,134.18403213732938
68636,87.5162662742568
68637,90.36176491087967
68638,182.9810997648107
68639,142.7165966710322
68640,124.05571179428941
68641,237.18151890639695
68642,95.22482269236411
68643,104.56904918302807
68644,112.98426951155989
68645,106.50722257993871
68646,194.66733898355244
68647,103.16472513275372
68648,163.80834450836076
68649,91.46851675577737
68650,170.70239495287845
68651,86.43254612717222
68652,98.98259831046124
68653,163.20904854004385
68654,110.96114129768517
68655,111.20424483146111
68656,93.05129078335115
68657,244.1935271580479
68658,85.89265027485712
68659,99.29996111440809
68660,155.10126407339138
68661,142.86717109941011
68662,106.80437578627689
68663,107.55141191317279
68664,95.89988063045445
68665,99.85996037360363
68666,130.9807915227587
68667,129.96524314077442
68668,132.98632632823515
68669,115.10737167116685
68670,262.3179933113657
68671,83.97839670794636
68672,80.02067424329829
68673,154.42565003851797
68674,87.92882573622101
68675,86.07854724950641
68676,125.83979101315298
68677,137.13827289113078
68678,141.3093302413178
68679,99.86014776007096
68680,84.44925668494189
68681,113.21436845462235
68682,113.72052038916162
68683,75.16311855048293
68684,99.43106012208159
68685,105.53440096769828
68686,164.29493085012624
68687,106.71687104266528
68688,124.55823082131533
68689,101.98107052697085
68690,132.72439766705227
68691,159.3083432950544
68692,88.83341973109047
68693,164.76563128205146
68694,189.86173899001975
68695,142.16647263813178
68696,82.27376149557759
68697,106.92032907475746
68698,219.77269532793895
68699,45.71780801997749
68700,61.32744816027227
68701,186.77055669448916
68702,89.93584103443384
68703,134.54142405237073
68704,158.32948260503034
68705,98.8599504902683
68706,176.8464179069337
68707,74.9349012896325
68708,116.76987581900241
68709,144.5959154682412
68710,78.2529680708773
68711,127.03594546523668
68712,96.75668233372605
68713,66.68890721823814
68714,83.43670293146363
68715,124.27620011040398
68716,210.41967913739327
68717,77.16809030164255
68718,60.46481751353401
68719,76.94741491991665
68720,151.65796443035626
68721,242.62194771401423
68722,171.50347483238468
68723,121.36051147409215
68724,98.01051252138677
68725,102.21001827814145
68726,133.99690500932897
68727,123.8938893184454
68728,127.76406019945463
68729,169.14106684112875
68730,116.80781949890174
68731,128.64891669861467
68732,97.84286975392291
68733,112.0708017867433
68734,110.18880937087772
68735,165.2400407442602
68736,67.48883948237045
68737,100.34198279789858
68738,157.95517116105833
68739,130.34499347312547
68740,171.98191100095124
68741,91.5032417765154
68742,155.10666149124415
68743,60.98972830457647
68744,185.54254046910307
68745,103.57612333174883
68746,103.22761196391826
68747,139.05153946517245
68748,113.41655444108744
68749,56.128664561864014
68750,92.08042606211961
68751,230.94495617723845
68752,80.19460267513914
68753,389.338846965862
68754,113.71832964533327
68755,91.49564365372815
68756,52.20642898197296
68757,198.56447846036428
68758,240.4658415172818
68759,246.14560308640782
68760,159.79634520407805
68761,106.89767845712765
68762,90.9803079181152
68763,95.96468584233834
68764,95.31767047350326
68765,162.63416187871016
68766,77.77049900243024
68767,119.77618961490502
68768,129.47810356579924
68769,81.43779493043402
68770,112.05182473610516
68771,85.591695669161
68772,87.58413695014738
68773,92.04143682298164
68774,78.6534164698056
68775,106.97511150979545
68776,102.31263063359731
68777,87.0663887630597
68778,84.08185562371563
68779,66.94074662929668
68780,134.7579651201828
68781,68.38597110291761
68782,114.49467915415005
68783,95.81489325680566
68784,91.63565559143653
68785,114.29027064956871
68786,116.3580823919437
68787,259.77785745752124
68788,89.08547414120787
68789,69.06015866730877
68790,297.72445087424194
68791,61.22942072213393
68792,108.92142022834568
68793,95.18095835685511
68794,98.2796711049408
68795,108.68601847735248
68796,100.21310858064639
68797,103.7825302022822
68798,83.77427375178193
68799,99.88499025388133
68800,75.48222720518075
68801,83.09532148738582
68802,90.25050661687324
68803,121.88231144817681
68804,81.43997411607452
68805,88.24208719970687
68806,104.08075657164159
68807,129.55506979775268
68808,82.20961054897279
68809,164.23260128127527
68810,111.80173629376057
68811,130.42386824451984
68812,107.2167350780621
68813,50.19673103306387
68814,92.81047221409983
68815,39.881876836432184
68816,243.63277136891745
68817,129.78535817376277
68818,150.0142771618066
68819,89.25151000804553
68820,182.61383256008446
68821,161.90396227192264
68822,358.1309732716849
68823,114.71308847657073
68824,168.31906363405693
68825,97.31283322896718
68826,128.4016516837176
68827,117.42670384476394
68828,76.44028663436714
68829,60.53520819192803
68830,82.11173598794582
68831,109.70725402767467
68832,117.23215698187529
68833,114.7692043595186
68834,97.57497117167652
68835,28.023595386856385
68836,110.03281940635271
68837,57.55445495632187
68838,88.15935917160161
68839,127.6885766619167
68840,78.78304551133778
68841,183.97538051549267
68842,128.33482393187563
68843,108.7148284346439
68844,146.1862631964456
68845,88.04873814382208
68846,75.60653922299201
68847,213.9863157688053
68848,137.08257744161094
68849,97.99191620238672
68850,116.18545650456454
68851,86.01148169265394
68852,87.08617909084379
68853,139.25499385127586
68854,97.96229656386528
68855,90.99489397669092
68856,253.040135365383
68857,86.68375991040661
68858,114.4816050241435
68859,84.86972354707595
68860,86.6286074158833
68861,54.10693936921314
68862,171.4894390054699
68863,59.92702318944683
68864,152.79685356313195
68865,78.77520318488308
68866,100.02090837260384
68867,67.41155040592525
68868,102.32363804562603
68869,95.5285646846233
68870,124.50634771341818
68871,131.13937126305314
68872,118.78274942895901
68873,125.36967522799978
68874,122.78198087428035
68875,119.88824480451424
68876,257.06026165448725
68877,82.31617881313886
68878,93.33453255203526
68879,108.72873757197544
68880,75.08450497530833
68881,83.482030590113
68882,165.76093889926557
68883,96.62026593239125
68884,139.67885731543396
68885,97.37097314089057
68886,171.77454318555345
68887,90.09558541056293
68888,88.6761175272732
68889,91.05938884693208
68890,88.22714456814026
68891,195.75732892256238
68892,134.2666163906396
68893,115.77443334287891
68894,238.89357390358137
68895,64.72442357799446
68896,91.15683424453766
68897,113.71643077992195
68898,80.79592572206727
68899,122.52010342888278
68900,113.31893818572979
68901,119.55474046407875
68902,55.5163533438437
68903,150.11034572302952
68904,116.63894332331898
68905,89.0133540125587
68906,175.86298156741674
68907,130.5066391699489
68908,175.61376731676782
68909,189.06098065881193
68910,60.588696020192046
68911,149.81016675767032
68912,230.75359277200067
68913,131.56873099730765
68914,124.67426201058424
68915,101.28570209465568
68916,164.18373690612742
68917,169.98328442043749
68918,102.98261899284046
68919,84.27486310119063
68920,261.8905965170983
68921,137.7910331708774
68922,64.6208241869562
68923,103.33379880745561
68924,179.76874301994263
68925,159.48613361346946
68926,87.89368335791394
68927,107.9243885066428
68928,133.1483436643797
68929,187.60977460539658
68930,83.46844954240615
68931,107.02117276478238
68932,108.1225411434783
68933,182.026665019583
68934,136.32641388337697
68935,187.7874455928698
68936,116.22341194474586
68937,172.6890188263947
68938,131.91786062880533
68939,210.6977741182751
68940,341.83592042636826
68941,165.3756707963373
68942,136.50035151522474
68943,156.07172536832843
68944,76.33453863433445
68945,93.80752972033231
68946,231.46915547322521
68947,140.86985302198633
68948,116.69412760626567
68949,144.80004286958894
68950,110.21371024315334
68951,134.18330589964862
68952,132.58559597987437
68953,120.4023280683497
68954,104.0026570866567
68955,82.6343999471689
68956,43.79595522522321
68957,204.40510657755965
68958,148.48769013451866
68959,90.6371073142582
68960,76.63270220942061
68961,109.19879508321695
68962,78.50350937887009
68963,379.771126491814
68964,60.16117022689979
68965,77.72657264731046
68966,177.44653643330696
68967,118.87956477822453
68968,149.24417295278656
68969,166.56012279660584
68970,100.58144797765196
68971,73.42318279853953
68972,106.29602613260248
68973,50.91193769416618
68974,137.67771286854727
68975,120.7681678716211
68976,93.74742511848126
68977,119.37531556355628
68978,106.53017672885785
68979,125.93203571590985
68980,90.87186499202024
68981,83.13739099237935
68982,102.14595738884223
68983,101.39676872078162
68984,76.61088452186374
68985,80.13572813064098
68986,147.33430947926456
68987,35.50482547136147
68988,118.32790910241431
68989,522.3717434931511
68990,130.7465992986297
68991,86.71849227359968
68992,124.63374293346811
68993,85.77959115792885
68994,155.1712010557505
68995,151.08723718225775
68996,266.3090336855372
68997,78.84077102621585
68998,103.69364117722249
68999,82.23540510330315
69000,114.89439980258942
69001,133.7000343522157
69002,106.22168525347898
69003,170.47654077162935
69004,283.86102108755557
69005,161.43082767969022
69006,207.51951817131015
69007,113.16654025874608
69008,102.45239858224853
69009,73.00704112788135
69010,302.825873038767
69011,177.3487138230456
69012,70.97605204650006
69013,114.76351008754636
69014,195.391715610042
69015,211.10584435378655
69016,103.20505429439909
69017,170.36733751767864
69018,147.14704622777845
69019,54.023670407138034
69020,74.19773998953164
69021,87.77850334040409
69022,251.14628133853589
69023,180.9482796478784
69024,207.74164294922593
69025,115.14151382246024
69026,67.25664632717437
69027,176.15293707153342
69028,117.58012964010612
69029,89.61869233499576
69030,79.7512646603482
69031,257.24409087878803
69032,351.97081645381195
69033,62.00126995694274
69034,88.7408221847239
69035,122.31845985295534
69036,115.90584089199236
69037,104.81659176316789
69038,279.15739180985975
69039,104.33767791441159
69040,124.96823890534222
69041,64.26933806143238
69042,18.477887884212706
69043,142.92926047499955
69044,203.11749999734099
69045,112.0884767466534
69046,77.39934228446634
69047,76.87551716425264
69048,117.51505864959401
69049,151.12361540207328
69050,199.917828713623
69051,136.73126818842576
69052,149.76217899171354
69053,117.24872620420498
69054,53.49673501186006
69055,25.514075505686918
69056,143.46440995962342
69057,94.4652215209855
69058,156.06444645928661
69059,109.92401240967666
69060,92.94243152217172
69061,138.22241944178955
69062,38.85660952232905
