id,CO2_working_capacity [mL/g]
68614,187.7908930811516
68615,57.474648508858515
68616,72.07392468884478
68617,62.7795731267953
68618,73.73538539311265
68619,70.09145064054526
68620,126.26883415833738
68621,218.4140615180789
68622,74.13914058390107
68623,153.99138638159505
68624,54.49077461606594
68625,66.68632159658199
68626,359.38517852975957
68627,204.8110920556385
68628,101.04241426820106
68629,122.27337809700443
68630,63.24219658534451
68631,60.0711890161866
68632,133.6869422309068
68633,58.965852413856425
68634,203.36186856222488
68635,148.97189035842655
68636,88.31009733638312
68637,98.53729814791232
68638,200.6263061563528
68639,148.34506160971566
68640,120.65522826275905
68641,254.74068143056408
68642,74.80521860605357
68643,77.91443993140619
68644,105.0128687337663
68645,89.63740735390606
68646,270.67949993274175
68647,101.20622655794266
68648,233.87288681853013
68649,72.81253018141535
68650,219.57784865029555
68651,81.60605785764191
68652,75.49932399395112
68653,167.4983907736881
68654,97.99707042546133
68655,93.39710350594294
68656,98.28208767277141
68657,213.94121506579472
68658,63.36381717346853
68659,89.29238207368134
68660,222.35172517166197
68661,162.218373537286
68662,68.77393093276764
68663,93.13201334730967
68664,71.40366850937905
68665,91.76791682781811
68666,145.63703410948273
68667,86.95897632639907
68668,200.70270805484992
68669,110.32096619134187
68670,271.27189783712043
68671,102.91894950540792
68672,72.28188690062949
68673,132.98296424933707
68674,65.76487193568425
68675,83.8648411721435
68676,161.99866226849113
68677,125.40150460563363
68678,164.41485683909585
68679,76.90582067242048
68680,82.52932979140427
68681,100.04416179159334
68682,90.02723686891655
68683,87.49477869130713
68684,111.2752925778304
68685,78.17511969090339
68686,175.749804837212
68687,92.48960647765084
68688,120.2498782267542
68689,92.74217936678032
68690,158.08727333941695
68691,193.821301221734
68692,89.81493845926036
68693,175.59340551766573
68694,109.02183623208502
68695,136.88082817455572
68696,56.62341923823573
68697,128.82181705840102
68698,177.7124693696404
68699,57.707397050300564
68700,56.24142580156098
68701,214.3941744281066
68702,91.59866497710647
68703,120.25735772628867
68704,123.72152948669573
68705,96.64926892696091
68706,125.46319663793355
68707,111.09665608473584
68708,131.20921019620855
68709,131.45188643431283
68710,67.27757714449962
68711,131.61405851745408
68712,91.49416861994165
68713,60.26404603136536
68714,57.761183452009526
68715,119.61381047203527
68716,120.4538291299835
68717,68.62539340273219
68718,47.00235060913989
68719,55.05491657876143
68720,139.4485633497463
68721,228.90252106585106
68722,107.1087891022442
68723,90.73099427510222
68724,89.11329650313634
68725,95.41371779241763
68726,152.7438902314512
68727,124.03138593676927
68728,146.39087721554927
68729,262.5405438452017
68730,115.43163073929752
68731,124.72113546508353
68732,78.9345012565352
68733,87.64898825819743
68734,142.76126479258502
68735,206.6366662075953
68736,57.88060854866129
68737,118.94173200417087
68738,153.49298669331776
68739,140.84975521009207
68740,237.01653746317618
68741,78.80108262866817
68742,140.42358910352894
68743,92.08647191327104
68744,227.05400240181848
68745,109.26523708296315
68746,91.53204789537794
68747,169.96634528187653
68748,92.33951075447722
68749,74.87427648785818
68750,92.08174574388947
68751,223.53782337955082
68752,95.05466044022474
68753,248.9453571205206
68754,138.89810026018623
68755,77.24630262575877
68756,88.83829442640018
68757,288.090290792611
68758,366.32767858578404
68759,259.8572601732113
68760,175.99855331290328
68761,116.47956276887032
68762,69.36816529790181
68763,68.37029034598844
68764,86.15746063584186
68765,167.5685006239488
68766,53.9933149499098
68767,98.64341203774592
68768,125.29818832449236
68769,62.456069714960904
68770,138.77065287924452
68771,68.8159684898646
68772,65.3146558515112
68773,85.98376167680347
68774,68.17041362860176
68775,77.48626432875538
68776,94.44729525832459
68777,70.94530851526964
68778,63.437311956057016
68779,62.722244929746005
68780,163.11094580256662
68781,75.19982507690965
68782,113.15272288185146
68783,70.63532465014872
68784,82.32983021586323
68785,139.31797718108373
68786,104.96544160484702
68787,250.03417369217266
68788,68.53351717221126
68789,78.82585793404958
68790,237.92018876357687
68791,63.102396634003185
68792,110.4676048235515
68793,113.57499952690473
68794,111.1734468560614
68795,121.25376373912322
68796,77.18943680908308
68797,129.98707611018642
68798,70.2508045752872
68799,75.97217654836378
68800,60.53262720666865
68801,102.5927485540147
68802,100.61323377537765
68803,80.43893850747101
68804,61.517599762768405
68805,70.69271957342009
68806,94.60593530618117
68807,117.34589114606742
68808,62.372029899281586
68809,174.47106113760844
68810,121.78978835740855
68811,114.88302127556449
68812,105.65532603436331
68813,59.77169047709344
68814,107.48114439714227
68815,81.12656599824999
68816,317.382196746157
68817,115.49776537266517
68818,72.52185458666125
68819,76.89149346291309
68820,181.61064305489322
68821,193.173931693678
68822,388.9241423579221
68823,98.28930358782782
68824,173.69597999904147
68825,77.16009624354864
68826,147.7582166459589
68827,156.69254444448654
68828,57.070315946055935
68829,59.66026560114343
68830,79.73736897175671
68831,114.86500619174349
68832,114.03593795663296
68833,104.54379183154099
68834,75.5642683087158
68835,65.2959307531468
68836,136.85241982403693
68837,69.52850391824104
68838,52.32096274701081
68839,169.4038040550191
68840,62.40397976591594
68841,149.40239866288027
68842,146.02605478004108
68843,120.1156328854159
68844,198.62759678424678
68845,61.939654907784295
68846,70.96378863857525
68847,174.6669391910741
